Anno,Beneficiar,UTE,PROVINCIA,IDCatastal,comune,IDSpecie,specie,IDVarieta,varieta,Irriguo,NrPiante,SestoSuFil,SestoTraFi,AnnoImpian,IDFormaAll,DataImpian,CodDestina,destinazio,CodUso,uso,CodQualita,qualita,ColturaPri,IdTipoSemi,Produttivo,IdTipoIrri,IdTipoProt,IdRotazion,IdPotenzia,IdEpocaDiS,IdTipoMant,IdTipoMa_1,DataInizio,DataFineOc,area,CodColtiva,DescColtiv,objectid,col_specie,col_BioSAU
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"2402",Oliva da trasformazione,"93",Altre varieta' di olive,"0","1200","0","0","1900","30",1900/01/01 00:00:00.000,"006",DA OLIO,"000",,"000",,"1","1","1","0","0","3","2","0","8","11",2017/01/01 00:00:00.000,9999/12/31 00:00:00.000,"580","3",Tradizionale (non bio),"903",#66795c,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"2402",Oliva da trasformazione,"93",Altre varieta' di olive,"0","1200","0","0","1900","30",1900/01/01 00:00:00.000,"006",DA OLIO,"000",,"000",,"1","1","1","0","0","3","2","0","8","11",2017/01/01 00:00:00.000,9999/12/31 00:00:00.000,"611","3",Tradizionale (non bio),"905",#66795c,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"2402",Oliva da trasformazione,"93",Altre varieta' di olive,"0","1200","0","0","1900","30",1900/01/01 00:00:00.000,"006",DA OLIO,"000",,"000",,"1","1","1","0","0","3","2","0","8","11",2017/01/01 00:00:00.000,9999/12/31 00:00:00.000,"4276","3",Tradizionale (non bio),"908",#66795c,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"2402",Oliva da trasformazione,"93",Altre varieta' di olive,"0","1200","0","0","1900","30",1900/01/01 00:00:00.000,"006",DA OLIO,"000",,"000",,"1","1","1","0","0","3","2","0","8","11",2017/01/01 00:00:00.000,9999/12/31 00:00:00.000,"258","3",Tradizionale (non bio),"911",#66795c,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"2402",Oliva da trasformazione,"93",Altre varieta' di olive,"0","1200","0","0","1900","30",1900/01/01 00:00:00.000,"006",DA OLIO,"000",,"000",,"1","1","1","0","0","3","2","0","8","11",2017/01/01 00:00:00.000,9999/12/31 00:00:00.000,"8526","3",Tradizionale (non bio),"913",#66795c,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"1700",Terreni ritirati dalla produzione,"0",nessuna,"0","0","0","0","1900","0",1900/01/01 00:00:00.000,"000",,"048",TERRENO COPERTO DA VEGETAZIONE SPONTANEA,"037",COPERTURA VEGETALE SPONTANEA,"1","1","1","0","0","3","2","0","8","9",2024/01/01 00:00:00.000,2025/01/01 00:00:00.000,"17912","3",Tradizionale (non bio),"916",#000000,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"1700",Terreni ritirati dalla produzione,"0",nessuna,"0","0","0","0","1900","0",1900/01/01 00:00:00.000,"000",,"048",TERRENO COPERTO DA VEGETAZIONE SPONTANEA,"037",COPERTURA VEGETALE SPONTANEA,"1","1","1","0","0","3","2","0","8","9",2024/01/01 00:00:00.000,2025/01/01 00:00:00.000,"11113","3",Tradizionale (non bio),"919",#000000,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"1700",Terreni ritirati dalla produzione,"0",nessuna,"0","0","0","0","1900","0",1900/01/01 00:00:00.000,"000",,"048",TERRENO COPERTO DA VEGETAZIONE SPONTANEA,"037",COPERTURA VEGETALE SPONTANEA,"1","1","1","0","0","3","2","0","8","9",2024/01/01 00:00:00.000,2025/01/01 00:00:00.000,"18350","3",Tradizionale (non bio),"921",#000000,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"1700",Terreni ritirati dalla produzione,"0",nessuna,"0","0","0","0","1900","0",1900/01/01 00:00:00.000,"000",,"048",TERRENO COPERTO DA VEGETAZIONE SPONTANEA,"037",COPERTURA VEGETALE SPONTANEA,"1","1","1","0","0","3","2","0","8","9",2024/01/01 00:00:00.000,2025/01/01 00:00:00.000,"12129","3",Tradizionale (non bio),"934",#000000,#ff7f00
"2024","326810","86282",FI,E466048024,LASTRA A SIGNA,"2302",VITE,"0",Vite,"0","2406","80","250","2005","2",2005/01/01 00:00:00.000,"009",DA VINO,"000",,"000",,"1","1","1","0","0","3","2","0","8","11",2005/01/01 00:00:00.000,9999/12/31 00:00:00.000,"4811","3",Tradizionale (non bio),"938",#c182b4,#ff7f00
